game_id,season,week,gameday,home_team,away_team,home_score,away_score,home_pass_yds,home_pass_cmp,home_pass_att,away_pass_yds,away_pass_cmp,away_pass_att,home_moneyline,away_moneyline,home_off_epa_per_play,home_off_cpoe,home_def_epa_per_play,away_off_epa_per_play,away_off_cpoe,away_def_epa_per_play,home_roll_pts_scored,home_roll_pts_allowed,home_roll_off_epa,home_roll_def_epa,home_roll_off_cpoe,away_roll_pts_scored,away_roll_pts_allowed,away_roll_off_epa,away_roll_def_epa,away_roll_off_cpoe,home_roll_passing_yards,home_roll_rushing_yards,home_roll_completion_pct,home_roll_net_yds_per_play,away_roll_passing_yards,away_roll_rushing_yards,away_roll_completion_pct,away_roll_net_yds_per_play,diff_pts_scored,diff_pts_allowed,diff_pass_yds,diff_rush_yds,diff_comp_pct,diff_net_yds_play,diff_off_epa,diff_def_epa,diff_off_cpoe
2023_02_CHI_TB,2023,2,2023-09-17,TB,CHI,27,17,317,26,34,211,16,29,-135,114,0.1919157740352339,15.592158678919075,-0.1714262542209623,-0.1714262542209623,-10.542447865009308,0.1919157740352339,20.0,17.0,-0.1044629679643963,-0.0989027725657624,-2.990890759974718,20.0,38.0,-0.1762967523723666,0.155701356920238,-7.785577906502618,173.0,73.0,0.6176470588235294,3.6176470588235294,216.0,122.0,0.6486486486486487,4.828571428571428,0.0,21.0,-43.0,-49.0,-0.031001589825119247,-1.2109243697478989,0.07183378440797031,0.2546041294860004,4.7946871465279
2023_02_LAC_TEN,2023,2,2023-09-17,TEN,LAC,27,24,246,20,24,305,27,41,120,-142,0.0791802611262323,16.433273628354073,0.0758980280005418,0.0758980280005418,7.6770969690420685,0.0791802611262323,15.0,16.0,-0.1766572317412597,-0.0676103595641819,-19.289592360005233,34.0,36.0,0.1700523116821552,0.3395622966694022,2.5835440043480165,198.0,104.0,0.47058823529411764,5.11864406779661,229.0,233.0,0.696969696969697,6.078947368421052,-19.0,20.0,-31.0,-129.0,-0.22638146167557938,-0.9603033006244424,-0.34670954342341487,0.4071726562335841,-21.87313636435325
2023_02_NYG_ARI,2023,2,2023-09-17,ARI,NYG,28,31,228,21,31,321,26,37,185,-225,0.191834287931235,4.662621637870526,0.2004681060823719,0.2004681060823719,6.072517377989633,0.191834287931235,16.0,20.0,-0.3482674124574335,-0.2224206770841902,2.0314213633537292,0.0,40.0,-0.4270933226199742,0.1454205570413164,-11.623894397554729,132.0,96.0,0.7,3.9310344827586206,110.0,108.0,0.5666666666666667,3.353846153846154,16.0,20.0,22.0,-12.0,0.1333333333333333,0.5771883289124666,0.0788259101625407,0.3678412341255066,13.655315760908458
2023_02_SF_LA,2023,2,2023-09-17,LA,SF,23,30,307,34,55,206,17,25,270,-340,-0.0721234168354849,-9.849129158716936,0.1381266107768888,0.1381266107768888,1.6733539601167042,-0.0721234168354849,30.0,13.0,0.2537183017056319,-0.0376355332073559,-0.4259261730554941,30.0,7.0,0.1276754293416743,-0.2953882116717362,3.140392473765782,334.0,92.0,0.631578947368421,5.461538461538462,220.0,188.0,0.6551724137931034,6.181818181818182,0.0,-6.0,114.0,-96.0,-0.023593466424682408,-0.72027972027972,0.12604287236395761,-0.25775267846438027,-3.566318646821276
2023_02_NYJ_DAL,2023,2,2023-09-17,DAL,NYJ,30,10,255,31,38,170,12,27,-380,300,0.0973756845344691,11.732454235489303,-0.4317857419459543,-0.4317857419459543,-18.78376817703247,0.0973756845344691,40.0,0.0,0.1454205570413164,-0.4270933226199742,-11.235527753829956,22.0,16.0,-0.0298907957995562,-0.0791738219169201,6.418682138125102,143.0,122.0,0.52,4.818181818181818,140.0,172.0,0.6363636363636364,5.886792452830188,18.0,16.0,3.0,-50.0,-0.11636363636363634,-1.06861063464837,0.1753113528408726,0.3479195007030541,-17.65420989195506
2023_02_WAS_DEN,2023,2,2023-09-17,DEN,WAS,33,35,308,18,32,299,27,39,-198,164,0.1312053129532656,2.543591349213212,0.2191249752672658,0.2191249752672658,8.928142488002777,0.1312053129532656,16.0,17.0,0.0713344994000438,0.1726841686936748,14.956555236130953,20.0,16.0,-0.2224206770841902,-0.3482674124574335,-6.89905296111929,177.0,94.0,0.7941176470588235,4.672413793103448,202.0,92.0,0.6129032258064516,4.523076923076923,-4.0,-1.0,-25.0,2.0,0.18121442125237186,0.1493368700265254,0.293755176484234,-0.5209515811511083,21.85560819725024
2023_02_MIA_NE,2023,2,2023-09-17,NE,MIA,17,24,231,31,42,249,21,30,110,-130,-0.0743095803726311,7.442533721526464,0.1887338550063706,0.1887338550063706,7.973508793732216,-0.0743095803726311,20.0,25.0,-0.2012736714796104,-0.134385958795428,-3.112151832492263,36.0,34.0,0.3395622966694022,0.1700523116821552,0.7247561080889269,316.0,76.0,0.6481481481481481,5.0256410256410255,466.0,70.0,0.6222222222222222,8.246153846153845,-16.0,9.0,-150.0,6.0,0.025925925925925908,-3.2205128205128197,-0.5408359681490126,0.3044382704775832,-3.83690794058119
2023_02_NO_CAR,2023,2,2023-09-18,CAR,NO,17,20,153,22,33,236,22,37,145,-175,-0.1055251784415895,3.418885219481683,0.0534217992617284,0.0534217992617284,-1.1415773454834433,-0.1055251784415895,10.0,24.0,-0.2586715095325469,-0.1389357985336463,-5.514065777101824,16.0,15.0,-0.0676103595641819,-0.1766572317412597,6.1527174530607285,146.0,154.0,0.5263157894736842,4.166666666666667,305.0,69.0,0.696969696969697,5.84375,-6.0,-9.0,-159.0,85.0,-0.17065390749601284,-1.677083333333333,-0.191061149968365,-0.0377214332076134,-11.666783230162553
2023_02_CLE_PIT,2023,2,2023-09-18,PIT,CLE,26,22,222,15,30,235,22,40,124,-148,-0.3919658122247713,-15.314657112647748,-0.2207673678310223,-0.2207673678310223,-7.523954510688782,-0.3919658122247713,7.0,30.0,-0.2953882116717362,0.1276754293416743,2.07611083984375,24.0,3.0,-0.1458974134639627,-0.4114458267363066,-6.878151616145825,232.0,41.0,0.6739130434782609,4.475409836065574,154.0,206.0,0.5517241379310345,5.0,-17.0,-27.0,78.0,-165.0,0.12218890554722639,-0.5245901639344259,-0.14949079820777347,-0.5391212560779809,8.954262455989575
2023_03_NYG_SF,2023,3,2023-09-21,SF,NYG,30,12,310,25,37,137,22,33,-535,400,0.2054418111378002,2.9220708152827095,-0.212732998603279,-0.212732998603279,-0.7377738133072853,0.2054418111378002,30.0,13.4,0.1318559019157601,-0.20608229373723566,2.5535770683061507,12.4,35.2,-0.17606875113903572,0.16398604939728384,-4.5453296873369835,214.4,176.4,0.6651034482758621,6.412794612794613,194.4,115.60000000000001,0.6210810810810811,4.686934557979334,17.6,21.800000000000004,20.0,60.8,0.04402236719478103,1.7258600548152794,0.3079246530547958,0.37006834313451953,7.098906755643134
